ID_Location,Name,Species,Year,Animals Sighted,Groups Sighted,Transect Length (km),Num per 100km,,,,,,,,,,
40,King Nehale,Hartebeest,2024,,,131,,,,,,,,,,,
40,King Nehale,Hartmann's Zebra,2010,,,128,,,,,,,,,,,
40,King Nehale,Hartmann's Zebra,2011,,,128,,,,,,,,,,,
40,King Nehale,Hartmann's Zebra,2012,,,167,,,,,,,,,,,
40,King Nehale,Hartmann's Zebra,2013,,,141,,,,,,,,,,,
40,King Nehale,Hartmann's Zebra,2014,,,144,,,,,,,,,,,
40,King Nehale,Hartmann's Zebra,2015,,,144,,,,,,,,,,,
40,King Nehale,Hartmann's Zebra,2016,,,147,,,,,,,,,,,
40,King Nehale,Hartmann's Zebra,2017,,,123,,,,,,,,,,,
40,King Nehale,Hartmann's Zebra,2018,,,123,,,,,,,,,,,
40,King Nehale,Hartmann's Zebra,2019,,,123,,,,,,,,,,,
40,King Nehale,Hartmann's Zebra,2020,,,123,,,,,,,,,,,
40,King Nehale,Hartmann's Zebra,2021,,,137,,,,,,,,,,,
40,King Nehale,Hartmann's Zebra,2022,,,136,,,,,,,,,,,
40,King Nehale,Hartmann's Zebra,2023,,,136,,,,,,,,,,,
40,King Nehale,Hartmann's Zebra,2024,,,131,,,,,,,,,,,
40,King Nehale,Honey Badger,2010,,,128,,,,,,,,,,,
40,King Nehale,Honey Badger,2011,,,128,,,,,,,,,,,
40,King Nehale,Honey Badger,2012,,,167,,,,,,,,,,,
40,King Nehale,Honey Badger,2013,,,141,,,,,,,,,,,
40,King Nehale,Honey Badger,2014,,,144,,,,,,,,,,,
40,King Nehale,Honey Badger,2015,,,144,,,,,,,,,,,
40,King Nehale,Honey Badger,2016,,,147,,,,,,,,,,,
40,King Nehale,Honey Badger,2017,,,123,,,,,,,,,,,
40,King Nehale,Honey Badger,2018,,,123,,,,,,,,,,,
40,King Nehale,Honey Badger,2019,,,123,,,,,,,,,,,
40,King Nehale,Honey Badger,2020,,,123,,,,,,,,,,,
40,King Nehale,Honey Badger,2021,,,137,,,,,,,,,,,
40,King Nehale,Honey Badger,2022,,,136,,,,,,,,,,,
40,King Nehale,Honey Badger,2023,,,136,,,,,,,,,,,
40,King Nehale,Honey Badger,2024,,,131,,,,,,,,,,,
40,King Nehale,"Impala, Black-faced",2010,,,128,,,,,,,,,,,
40,King Nehale,"Impala, Black-faced",2011,,,128,,,,,,,,,,,
40,King Nehale,"Impala, Black-faced",2012,,,167,,,,,,,,,,,
40,King Nehale,"Impala, Black-faced",2013,,,141,,,,,,,,,,,
40,King Nehale,"Impala, Black-faced",2014,,,144,,,,,,,,,,,
40,King Nehale,"Impala, Black-faced",2015,,,144,,,,,,,,,,,
40,King Nehale,"Impala, Black-faced",2016,,,147,,,,,,,,,,,
40,King Nehale,"Impala, Black-faced",2017,,,123,,,,,,,,,,,
40,King Nehale,"Impala, Black-faced",2018,,,123,,,,,,,,,,,
40,King Nehale,"Impala, Black-faced",2019,,,123,,,,,,,,,,,
40,King Nehale,"Impala, Black-faced",2020,,,123,,,,,,,,,,,
40,King Nehale,"Impala, Black-faced",2021,,,137,,,,,,,,,,,
40,King Nehale,"Impala, Black-faced",2022,,,136,,,,,,,,,,,
40,King Nehale,"Impala, Black-faced",2023,,,136,,,,,,,,,,,
40,King Nehale,"Impala, Black-faced",2024,,,131,,,,,,,,,,,
40,King Nehale,"Jackal, Black-backed",2010,4,4,128,3.1,,,,,,,,,,
40,King Nehale,"Jackal, Black-backed",2011,2,2,128,1.6,,,,,,,,,,
40,King Nehale,"Jackal, Black-backed",2012,8,5,167,4.8,,,,,,,,,,
40,King Nehale,"Jackal, Black-backed",2013,2,2,141,1.4,,,,,,,,,,
40,King Nehale,"Jackal, Black-backed",2014,2,2,144,1.4,,,,,,,,,,
40,King Nehale,"Jackal, Black-backed",2015,2,2,144,1.4,,,,,,,,,,
40,King Nehale,"Jackal, Black-backed",2016,4,3,147,2.7,,,,,,,,,,
40,King Nehale,"Jackal, Black-backed",2017,1,1,123,0.8,,,,,,,,,,
40,King Nehale,"Jackal, Black-backed",2018,3,2,123,2.4,,,,,,,,,,
40,King Nehale,"Jackal, Black-backed",2019,1,1,123,0.8,,,,,,,,,,
40,King Nehale,"Jackal, Black-backed",2020,1,1,123,0.8,,,,,,,,,,
40,King Nehale,"Jackal, Black-backed",2021,1,1,137,0.7,,,,,,,,,,
40,King Nehale,"Jackal, Black-backed",2022,1,1,136,0.7,,,,,,,,,,
40,King Nehale,"Jackal, Black-backed",2023,3,3,136,2.2,,,,,,,,,,
40,King Nehale,"Jackal, Black-backed",2024,2,2,131,1.5,,,,,,,,,,
40,King Nehale,Kori Bustard,2010,,,128,,,,,,,,,,,
40,King Nehale,Kori Bustard,2011,,,128,,,,,,,,,,,
40,King Nehale,Kori Bustard,2012,,,167,,,,,,,,,,,
40,King Nehale,Kori Bustard,2013,,,141,,,,,,,,,,,
40,King Nehale,Kori Bustard,2014,,,144,,,,,,,,,,,
40,King Nehale,Kori Bustard,2015,,,144,,,,,,,,,,,
40,King Nehale,Kori Bustard,2016,,,147,,,,,,,,,,,
40,King Nehale,Kori Bustard,2017,,,123,,,,,,,,,,,
40,King Nehale,Kori Bustard,2018,,,123,,,,,,,,,,,
40,King Nehale,Kori Bustard,2019,,,123,,,,,,,,,,,
40,King Nehale,Kori Bustard,2020,,,123,,,,,,,,,,,
40,King Nehale,Kori Bustard,2021,,,137,,,,,,,,,,,
40,King Nehale,Kori Bustard,2022,,,136,,,,,,,,,,,
40,King Nehale,Kori Bustard,2023,,,136,,,,,,,,,,,
40,King Nehale,Kori Bustard,2024,,,131,,,,,,,,,,,
40,King Nehale,Kudu,2010,,,128,,,,,,,,,,,
40,King Nehale,Kudu,2011,,,128,,,,,,,,,,,
40,King Nehale,Kudu,2012,,,167,,,,,,,,,,,
40,King Nehale,Kudu,2013,,,141,,,,,,,,,,,
40,King Nehale,Kudu,2014,4,2,144,2.8,,,,,,,,,,
40,King Nehale,Kudu,2015,,,144,,,,,,,,,,,
40,King Nehale,Kudu,2016,,,147,,,,,,,,,,,
40,King Nehale,Kudu,2017,,,123,,,,,,,,,,,
40,King Nehale,Kudu,2018,,,123,,,,,,,,,,,
40,King Nehale,Kudu,2019,,,123,,,,,,,,,,,
40,King Nehale,Kudu,2020,,,123,,,,,,,,,,,
40,King Nehale,Kudu,2021,,,137,,,,,,,,,,,
40,King Nehale,Kudu,2022,,,136,,,,,,,,,,,
40,King Nehale,Kudu,2023,,,136,,,,,,,,,,,
40,King Nehale,Kudu,2024,1,1,131,0.8,,,,,,,,,,
40,King Nehale,Leopard,2010,,,128,,,,,,,,,,,
40,King Nehale,Leopard,2011,,,128,,,,,,,,,,,
40,King Nehale,Leopard,2012,,,167,,,,,,,,,,,
40,King Nehale,Leopard,2013,,,141,,,,,,,,,,,
40,King Nehale,Leopard,2014,,,144,,,,,,,,,,,
40,King Nehale,Leopard,2015,,,144,,,,,,,,,,,
40,King Nehale,Leopard,2016,,,147,,,,,,,,,,,
40,King Nehale,Leopard,2017,,,123,,,,,,,,,,,
40,King Nehale,Leopard,2018,,,123,,,,,,,,,,,
40,King Nehale,Leopard,2019,,,123,,,,,,,,,,,
40,King Nehale,Leopard,2020,,,123,,,,,,,,,,,
40,King Nehale,Leopard,2021,,,137,,,,,,,,,,,
40,King Nehale,Leopard,2022,,,136,,,,,,,,,,,
40,King Nehale,Leopard,2023,,,136,,,,,,,,,,,
40,King Nehale,Leopard,2024,,,131,,,,,,,,,,,
40,King Nehale,Lion,2010,,,128,,,,,,,,,,,
40,King Nehale,Lion,2011,,,128,,,,,,,,,,,
40,King Nehale,Lion,2012,,,167,,,,,,,,,,,
40,King Nehale,Lion,2013,,,141,,,,,,,,,,,
40,King Nehale,Lion,2014,,,144,,,,,,,,,,,
40,King Nehale,Lion,2015,,,144,,,,,,,,,,,
40,King Nehale,Lion,2016,,,147,,,,,,,,,,,
40,King Nehale,Lion,2017,,,123,,,,,,,,,,,
40,King Nehale,Lion,2018,,,123,,,,,,,,,,,
40,King Nehale,Lion,2019,,,123,,,,,,,,,,,
40,King Nehale,Lion,2020,,,123,,,,,,,,,,,
40,King Nehale,Lion,2021,,,137,,,,,,,,,,,
40,King Nehale,Lion,2022,,,136,,,,,,,,,,,
40,King Nehale,Lion,2023,,,136,,,,,,,,,,,
40,King Nehale,Lion,2024,,,131,,,,,,,,,,,
40,King Nehale,Ostrich,2010,,,128,,,,,,,,,,,
40,King Nehale,Ostrich,2011,,,128,,,,,,,,,,,
40,King Nehale,Ostrich,2012,,,167,,,,,,,,,,,
40,King Nehale,Ostrich,2013,,,141,,,,,,,,,,,
40,King Nehale,Ostrich,2014,,,144,,,,,,,,,,,
40,King Nehale,Ostrich,2015,,,144,,,,,,,,,,,
40,King Nehale,Ostrich,2016,,,147,,,,,,,,,,,
40,King Nehale,Ostrich,2017,,,123,,,,,,,,,,,
40,King Nehale,Ostrich,2018,,,123,,,,,,,,,,,
40,King Nehale,Ostrich,2019,,,123,,,,,,,,,,,
40,King Nehale,Ostrich,2020,,,123,,,,,,,,,,,
40,King Nehale,Ostrich,2021,,,137,,,,,,,,,,,
40,King Nehale,Ostrich,2022,,,136,,,,,,,,,,,
40,King Nehale,Ostrich,2023,,,136,,,,,,,,,,,
40,King Nehale,Ostrich,2024,,,131,,,,,,,,,,,
40,King Nehale,Porcupine,2010,,,128,,,,,,,,,,,
40,King Nehale,Porcupine,2011,,,128,,,,,,,,,,,
40,King Nehale,Porcupine,2012,,,167,,,,,,,,,,,
