Species,Year,Animals,Groups,Transect Length,Animals per 100km,,,,,,,,,,,,
"Impala, Black-faced",2015,33,3,896,3.7,,,,,,,,,,,,
"Impala, Black-faced",2016,1,1,917,0.1,,,,,,,,,,,,
"Impala, Black-faced",2017,11,1,858,1.3,,,,,,,,,,,,
"Impala, Black-faced",2018,,,851,,,,,,,,,,,,,
"Impala, Black-faced",2019,,,864,,,,,,,,,,,,,
"Impala, Black-faced",2020,,,858,,,,,,,,,,,,,
"Impala, Black-faced",2021,6,1,928,0.6,,,,,,,,,,,,
"Impala, Black-faced",2022,1,1,911,0.1,,,,,,,,,,,,
"Impala, Black-faced",2023,8,2,974,0.8,,,,,,,,,,,,
"Impala, Black-faced",2024,12,1,1060,1.1,,,,,,,,,,,,
"Jackal, Black-backed",2003,,,,,,,,,,,,,,,,
"Jackal, Black-backed",2004,,,,,,,,,,,,,,,,
"Jackal, Black-backed",2005,,,,,,,,,,,,,,,,
"Jackal, Black-backed",2006,3,1,,,,,,,,,,,,,,
"Jackal, Black-backed",2007,4,4,,,,,,,,,,,,,,
"Jackal, Black-backed",2008,1,1,,,,,,,,,,,,,,
"Jackal, Black-backed",2009,6,3,204,2.9,,,,,,,,,,,,
"Jackal, Black-backed",2010,9,6,852,1.1,,,,,,,,,,,,
"Jackal, Black-backed",2011,13,12,1019,1.3,,,,,,,,,,,,
"Jackal, Black-backed",2012,16,12,1070,1.5,,,,,,,,,,,,
"Jackal, Black-backed",2013,8,7,900,0.9,,,,,,,,,,,,
"Jackal, Black-backed",2014,4,4,896,0.4,,,,,,,,,,,,
"Jackal, Black-backed",2015,15,12,896,1.7,,,,,,,,,,,,
"Jackal, Black-backed",2016,12,9,917,1.3,,,,,,,,,,,,
"Jackal, Black-backed",2017,8,8,858,0.9,,,,,,,,,,,,
"Jackal, Black-backed",2018,11,10,851,1.3,,,,,,,,,,,,
"Jackal, Black-backed",2019,6,5,864,0.7,,,,,,,,,,,,
"Jackal, Black-backed",2020,8,7,858,0.9,,,,,,,,,,,,
"Jackal, Black-backed",2021,6,5,928,0.6,,,,,,,,,,,,
"Jackal, Black-backed",2022,7,5,911,0.8,,,,,,,,,,,,
