Name,Species,Year,Animals seen,Groups seen,Population_estimate,CL_low,CL_high,Total_Area,,,,,,,,,,,,,,,,,
South of Vet Fence,Springbok,2024,886,106,19231,11334,32630,32756,,,,,,,,,,,,,,,,,
South of Vet Fence,Steenbok,2016,92,81,5490,3720,8080,33794,,,,,,,,,,,,,,,,,
South of Vet Fence,Steenbok,2017,48,39,3290,2080,5220,33096,,,,,,,,,,,,,,,,,
South of Vet Fence,Steenbok,2018,32,26,2100,1160,3800,34419,,,,,,,,,,,,,,,,,
South of Vet Fence,Steenbok,2019,52,43,3820,2510,5800,33896,,,,,,,,,,,,,,,,,
South of Vet Fence,Steenbok,2020,32,30,2803,1681,4672,34219,,,,,,,,,,,,,,,,,
South of Vet Fence,Steenbok,2021,18,15,1191,628,2259,33959,,,,,,,,,,,,,,,,,
South of Vet Fence,Steenbok,2022,17,16,977,475,2013,34219,,,,,,,,,,,,,,,,,
South of Vet Fence,Steenbok,2023,72,23,5515,2893,10515,33959,,,,,,,,,,,,,,,,,
South of Vet Fence,Steenbok,2024,48,39,6139,2221,16969,32756,,,,,,,,,,,,,,,,,
