Species,Year,Animals,Groups,Transect Length,Animals per 100km,,,,,,,,,,,,,,,,,,,,
Hartmann's Zebra,2014,,,1298,,,,,,,,,,,,,,,,,,,,,
Hartmann's Zebra,2015,,,1427,,,,,,,,,,,,,,,,,,,,,
Hartmann's Zebra,2016,5,1,1234,0.4,,,,,,,,,,,,,,,,,,,,
Hartmann's Zebra,2017,,,1451,,,,,,,,,,,,,,,,,,,,,
Hartmann's Zebra,2018,4,1,1451,0.3,,,,,,,,,,,,,,,,,,,,
Hartmann's Zebra,2019,,,1451,,,,,,,,,,,,,,,,,,,,,
Hartmann's Zebra,2020,9,2,1354,0.7,,,,,,,,,,,,,,,,,,,,
Hartmann's Zebra,2021,,,1451,,,,,,,,,,,,,,,,,,,,,
Hartmann's Zebra,2022,,,1415,,,,,,,,,,,,,,,,,,,,,
Hartmann's Zebra,2023,,,1417,,,,,,,,,,,,,,,,,,,,,
Hartmann's Zebra,2024,,,1331,,,,,,,,,,,,,,,,,,,,,
"Jackal, Black-backed",2005,6,4,811,0.7,,,,,,,,,,,,,,,,,,,,
"Jackal, Black-backed",2006,3,3,827,0.4,,,,,,,,,,,,,,,,,,,,
"Jackal, Black-backed",2007,4,4,810,0.5,,,,,,,,,,,,,,,,,,,,
"Jackal, Black-backed",2008,4,4,1050,0.4,,,,,,,,,,,,,,,,,,,,
"Jackal, Black-backed",2009,3,3,1150,0.3,,,,,,,,,,,,,,,,,,,,
"Jackal, Black-backed",2010,7,7,1263,0.6,,,,,,,,,,,,,,,,,,,,
"Jackal, Black-backed",2011,7,6,1463,0.5,,,,,,,,,,,,,,,,,,,,
"Jackal, Black-backed",2012,8,6,1344,0.6,,,,,,,,,,,,,,,,,,,,
"Jackal, Black-backed",2013,4,4,1386,0.3,,,,,,,,,,,,,,,,,,,,
"Jackal, Black-backed",2014,3,3,1298,0.2,,,,,,,,,,,,,,,,,,,,
"Jackal, Black-backed",2015,8,8,1427,0.6,,,,,,,,,,,,,,,,,,,,
